MAGIC,,
variable,cmor_table,frequency
clt,Amon,mon
hus,Amon,mon
msftmyz,Omon,mon
od550aer,aero,mon
pr,day,day
pr,Amon,mon
prsn,day,day
psl,Amon,mon
psl ,cf3hr,3hr
rhs,day,day
rlut,Amon,mon
rlutcs,Amon,mon
rsds,day,day
rsut,Amon,mon
rsutcs,Amon,mon
sfcWind,day,day
sic,OImon,mon
snd,OImon,mon
ta,day,day
ta,Amon,mon
tas,day,day
tas,Amon,mon
tasmax,day,day
tasmin,day,day
ts,Amon,mon
ua,day,day
uas,3hr,3hr
ua,Amon,mon
va,Amon,mon
vas,3hr,3hr
zg,day,day
zg,mon,mon
